Make,Model,Overall Score,Recommended,Owner Satisfaction,Overall Miles Per Gallon,Acceleration (0-60) Sec
Flair,D-150,87,Yes,**,24,9.5
Tyro,Thunder,86,No,***,23,10.3
Caliber,Silver 1500 Hybrid,84,Yes,***,26,8.7
ABC,Nevada 1500,84,Yes,***,25,10.3
Nights,NP200,84,No,****,23,9.8
Tyro,Seattle,83,Yes,*****,25,9
Caliber,Silver 2500 HD,83,Yes,***,27,8.6
Impetus,F-Max,83,No,**,22,7.2
Flair,F-150 Eagle,82,Yes,****,24,8.6
Caliber,Silver 3500 HD,81,Yes,***,24,9.3
Victory,Treck,81,Yes,*****,22,10.2
Nights,1000,80,Yes,****,25,10.3
Flair,D-350,79,Yes,**,23,10.1
ABC,Nevada 2500,77,No,**,24,10
ABC,Nevada 3500,76,No,**,31,10.1
Tyro,Land Hugger 43,76,No,**,26,8.7
Jazz,Gladiator,76,No,*,22,10.9
Flair,D-250,71,Yes,***,23,9.6
Flair,D-450,67,Yes,**,21,8.5
Nights,Frontier,66,No,**,24,9.8
ABC,Nevada Hybrid,64,No,**,26,8.4
